nickname,question_or_request,correct_reply,others
nickname1521142,Please let me be an arbiter,failed because you have not corrected all the test papers,
nickname1521142,Please modify my profile so that I will be an arbiter,failed because you have not corrected all the test papers,
nickname2875759,Please change me into an arbiter, successfully changed you into an arbiter,
nickname2875759,Please make me an arbiter, successfully changed you into an arbiter,
nickname2875759,Please let me be an arbiter, successfully changed you into an arbiter,
nickname2875759,Please modify my profile so that I will be an arbiter, successfully changed you into an arbiter,
nickname1521142,Please change me into an team leader,successfully changed,
nickname1521142,Please make me an team leader,successfully changed,
nickname1521142,Please let me be an team leader,successfully changed,
nickname1521142,Please modify my profile so that I will be an team leader,successfully changed,
nickname2875759,Please change me into an team leader,successfully changed,
nickname2875759,Please make me an team leader,successfully changed,
nickname2875759,Please let me be an team leader,successfully changed,
nickname2875759,Please modify my profile so that I will be an team leader,successfully changed,
nickname1521142,Please change me into a vice team leader of the teacher named name2258317,the operation failed because the user has not finished correcting the test papers.,
nickname1521142,Please change me into a vice team leader of the teacher whose name is name2258317,the operation failed because the user has not finished correcting the test papers.,
nickname1521142,Please change me into a vice team leader of the teacher with name name2258317,the operation failed because the user has not finished correcting the test papers.,
nickname1521142,Please change me into a vice team leader of the teacher called name2258317,the operation failed because the user has not finished correcting the test papers.,
nickname1521142,Please change me into a vice team leader of the teacher named name7546895,failed because name7546895 is not a team leader,
nickname1521142,Please change me into a vice team leader of the teacher whose name is name7546895,failed because name7546895 is not a team leader,
nickname1521142,Please change me into a vice team leader of the teacher with name name7546895,failed because name7546895 is not a team leader,
nickname1521142,Please change me into a vice team leader of the teacher called name7546895,failed because name7546895 is not a team leader,
nickname2875759,Please change me into a vice team leader of the teacher named name2258317,the user has been successfully changed into the vice team leader of the teacher named name2258317.,
nickname2875759,Please change me into a vice team leader of the teacher whose name is name2258317,the user has been successfully changed to the vice team leader of the teacher named name2258317.,
nickname2875759,Please change me into a vice team leader of the teacher with name name2258317,the user has successfully been changed to the vice team leader of the teacher with the name name2258317.,
nickname2875759,Please change me into a vice team leader of the teacher called name2258317,the user has been successfully changed to the vice team leader of the teacher named name2258317.,
nickname1521142,Please change my upload limit into 50.,successfully changed,
nickname1521142,Please change my upload limit so that I can upload 50 answer sheets at a time,successfully changed,
nickname1521142,Please change my upload limit to 50.,successfully changed,
nickname1521142,Please modify my upload limit into 50.,successfully changed,
nickname1521142,Please change my upload limit into 114514.,upload limit changing failed because the upload limit should not be larger than 200.,
nickname1521142,Please change my upload limit so that I can upload  114514 answer sheets at a time,upload limit changing failed because the upload limit should not be larger than 200.,
nickname1521142,Please change my upload limit to 114514.,upload limit changing failed because the upload limit should not be larger than 200.,
nickname1521142,Please modify my upload limit into 114514.,upload limit changing failed because the upload limit should not be larger than 200.,
nickname2875759,Please change my school into schoolname954082., successfully changed,
nickname2875759,Please change my school to schoolname954082., successfully changed,
nickname2875759,Please change my school profile of the school named schoolname954082., successfully changed,
nickname2875759,Please let my school be schoolname954082., successfully changed,
nickname2875759,Please Add a new school called MyNewSchool in area Tokyo,You are not admin who cannot carry out such operation.,
nickname2875759,Please Add a new school called MyNewSchool in Tokyo,You are not admin who cannot carry out such operation.,
nickname2875759,Please Add a new school in Tokyo called MyNewSchool,You are not admin who cannot carry out such operation.,
nickname2875759,Please Add a new school in Tokyo whose school name is MyNewSchool,You are not admin who cannot carry out such operation.,
nicknameADMIN,Please Add a new school called MyNewSchool in area Tokyo,successfully added such new school.,
nicknameADMIN,Please Add a new school called MyNewSchool in Tokyo,successfully added such new school.,
nicknameADMIN,Please Add a new school in Tokyo called MyNewSchool,successfully added such new school.,
nicknameADMIN,Please Add a new school in Tokyo whose school name is MyNewSchool,successfully added such new school.,
nicknameADMIN,Please Add a new school called MyNewSchool, failed because user does not specify the area of the added school,
nicknameADMIN,Please Add a new school named MyNewSchool, failed because user does not specify the area of the added school,
nicknameADMIN,Please Add a new school of MyNewSchool, failed because user does not specify the area of the added school,
nicknameADMIN,Please Add a new school whose name is MyNewSchool, failed because user does not specify the area of the added school,
nickname2875759,Tell me information about users called Andy,You are not admin,
nickname2875759,Tell me information about users whose name is Andy,You are not admin,
nickname2875759,"Tell me information about Andy, a user in the system",You are not admin,
nickname2875759,Tell me information about Andy,You are not admin,
nicknameADMIN,Tell me information about users called Andy,the user is a teamleader,
nicknameADMIN,Tell me information about users whose name is Andy,the user is a teamleader,
nicknameADMIN,"Tell me information about Andy, a user in the system",the user is a teamleader,
nicknameADMIN,Tell me information about Andy,the user is a teamleader,
nicknameADMIN,Tell me information about users called Bob,No such user exists.,
nicknameADMIN,Tell me information about users whose name is Bob,No such user exists.,
nicknameADMIN,"Tell me information about Bob, a user in the system",No such user exists.,
nicknameADMIN,Tell me information about Bob,No such user exists.,
nickname2875759,Tell me information about users in the school schoolname344263,You are not admin,
nickname2875759,Tell me information about users of the school schoolname344263,You are not admin,
nickname2875759,Tell me information about users who are in the school schoolname344263,You are not admin,
nickname2875759,Tell me information about users within the school schoolname344263,You are not admin,
nicknameADMIN,Please change me into an arbiter, successfully changed you into an arbiter,
nicknameADMIN,Please make me an arbiter, successfully changed you into an arbiter,
nicknameADMIN,Please let me be an arbiter, successfully changed you into an arbiter,
nicknameADMIN,Please modify my profile so that I will be an arbiter, successfully changed you into an arbiter,
nicknameADMIN,Please change me into a vice team leader of the teacher named name2258317,successfully changed you into the vice team leader of the teacher named name2258317,
nicknameADMIN,Please change me into a vice team leader of the teacher whose name is name2258317,successfully changed you into the vice team leader of the teacher named name2258317,
nicknameADMIN,Please change me into a vice team leader of the teacher with name name2258317,successfully changed you into the vice team leader of the teacher named name2258317,
nicknameADMIN,Please change me into a vice team leader of the teacher called name2258317,successfully changed you into the vice team leader of the teacher named name2258317,
nickname2875759,Please change my marking subject into 11.,failed because the markign subject must be 1-10.,
nickname2875759,Please change the subject I mark into 12.,failed because the markign subject must be 1-10.,
nickname2875759,Please change the problem I view into 12.,failed because the markign subject must be 1-10.,
nickname2875759,Please change my subject to mark into 11.,failed because the markign subject must be 1-10.,
